,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)
COUNTRY,DTP32018,DTP32017,DTP32016,DTP32015,DTP32014,DTP32013,DTP32012,DTP32011,DTP32010,DTP32009,DTP32008,DTP32007,DTP32006,DTP32005,DTP32004,DTP32003,DTP32002,DTP32001,DTP32000
Afghanistan,66,66,66,65,62,64,67,68,66,63,64,63,58,58,50,41,36,33,24
Albania,99,99,98,99,98,99,99,99,99,98,99,98,97,98,97,97,98,97,97
Algeria,91,91,91,95,95,95,95,95,95,95,93,95,95,88,86,87,86,89,86
Andorra,99,99,98,97,97,96,99,99,99,99,99,96,93,98,99,99,97,96,98
Angola,59,52,55,55,55,54,52,46,52,34,41,43,8,15,19,22,27,26,19
Antigua and Barbuda,95,95,92,99,99,99,98,99,98,99,99,99,99,99,97,99,98,97,95
Argentina,86,86,92,94,94,94,91,91,94,94,93,91,91,98,98,96,93,83,83
Armenia,92,94,94,94,93,95,95,95,94,93,89,88,87,90,91,94,94,94,93
Australia,95,95,94,93,92,91,92,92,92,92,92,92,92,92,92,93,92,92,90
Austria,85,90,87,93,98,95,92,89,86,83,83,85,83,86,83,84,83,84,81
Azerbaijan,95,95,97,96,94,93,89,87,81,81,81,79,78,75,77,77,76,77,76
Bahamas,90,94,94,95,96,97,98,98,99,96,93,95,95,93,93,92,94,99,99
Bahrain,99,97,99,98,98,99,99,99,99,98,97,97,98,98,98,97,98,99,97
Bangladesh,98,98,98,98,97,96,94,96,94,97,96,94,94,93,99,87,83,85,82
Barbados,95,90,97,97,94,91,87,91,86,93,85,93,84,92,93,89,87,84,93
Belarus,97,97,98,99,97,98,98,98,98,96,97,95,99,99,99,50,99,99,99
Belgium,98,98,98,99,99,99,99,98,98,98,99,98,98,97,95,95,95,95,95
Belize,96,88,95,94,95,95,98,95,96,97,94,96,98,96,97,96,89,96,91
Benin,76,76,76,74,74,77,80,75,76,79,75,82,74,70,72,73,75,76,78
Bhutan,97,98,98,99,99,97,97,95,91,93,96,95,95,95,89,95,86,88,92
Bolivia (Plurinational State of),83,84,87,89,85,87,93,95,91,93,88,84,83,85,84,88,77,71,75
Bosnia and Herzegovina,73,75,78,82,86,89,92,88,89,90,91,95,87,93,84,87,80,91,85
Botswana,95,95,95,95,95,95,95,95,95,96,96,96,96,96,96,96,97,97,97
Brazil,83,89,89,96,93,97,95,99,99,99,99,99,99,99,99,99,99,98,98
Brunei Darussalam,99,99,99,99,99,99,95,97,95,99,98,99,97,94,92,92,94,97,99
Bulgaria,92,92,92,91,88,95,95,95,94,94,95,95,95,96,95,96,93,94,93
Burkina Faso,91,91,91,91,91,88,90,91,91,92,93,89,86,82,79,79,69,62,45
Burundi,90,91,94,94,95,96,96,96,96,94,92,99,92,87,83,82,81,81,80
Cabo Verde,98,96,96,93,95,93,94,90,99,99,99,98,96,95,93,92,91,90,90
Cambodia,92,93,93,92,91,86,90,91,90,94,91,82,80,82,85,69,54,60,59
Cameroon,79,86,85,84,87,89,85,82,84,80,84,82,81,80,73,73,66,63,62
Canada,91,91,91,91,91,91,91,87,89,91,92,94,95,93,91,91,88,89,89
Central African Republic,47,47,47,47,47,23,47,47,45,42,45,48,51,54,51,47,44,40,37
Chad,41,41,41,42,36,39,40,33,39,24,19,28,40,25,21,23,25,26,36
Chile,95,93,95,96,95,91,90,94,92,94,95,96,94,91,93,96,97,97,91
China,99,99,99,99,99,99,99,99,99,99,97,93,93,87,87,86,86,86,85
Colombia,92,92,91,91,90,91,91,85,88,92,92,93,93,93,89,92,81,80,79
Comoros,91,91,91,91,87,87,86,83,74,83,81,75,69,68,76,80,89,70,70
Congo,75,69,71,80,90,85,85,82,74,78,79,72,73,62,67,50,41,31,33
Cook Islands,99,99,99,99,99,98,98,93,99,82,99,99,99,99,99,96,97,90,92
Costa Rica,94,96,97,92,91,95,91,85,88,86,90,89,89,91,90,88,94,91,88
C̫te d'Ivoire,82,83,85,77,73,75,82,62,85,81,74,76,77,76,67,61,64,66,65
Croatia,93,92,93,94,95,96,96,96,97,96,96,96,96,96,96,94,95,94,93
Cuba,99,99,99,99,99,99,99,97,96,96,95,93,89,89,88,72,99,98,95
Cyprus,99,97,97,97,99,99,99,99,99,99,97,97,97,98,98,98,98,97,97
Czechia,96,96,96,97,97,98,99,99,99,99,99,99,98,97,98,97,98,98,98
Democratic People's Republic of Korea,97,97,96,96,93,93,96,94,93,93,92,92,89,79,72,68,64,62,56
Democratic Republic of the Congo,81,81,79,81,80,74,75,74,60,72,65,70,62,60,54,41,38,30,40
Denmark,97,98,94,93,94,94,94,91,90,89,88,87,93,93,95,96,98,97,97
Djibouti,84,76,68,84,78,82,81,87,88,89,89,88,72,71,64,68,62,53,46
Dominica,94,91,99,98,97,96,97,98,98,99,96,96,95,98,99,99,98,99,99
Dominican Republic,94,84,87,85,91,83,85,84,88,82,82,85,89,87,79,79,82,72,78
Ecuador,85,85,83,78,83,87,87,88,91,94,96,96,96,92,88,87,88,89,87
Egypt,95,94,95,93,94,97,93,96,97,97,97,98,98,98,97,98,97,99,98
El Salvador,81,85,93,91,94,92,92,89,89,91,98,99,96,89,90,94,81,92,99
Equatorial Guinea,25,25,19,16,24,6,26,41,44,43,42,41,40,39,38,37,36,35,34
Eritrea,95,95,95,95,94,94,94,94,95,95,95,95,94,96,98,93,90,86,81
Estonia,92,93,93,93,93,94,94,93,94,95,95,95,95,96,94,94,94,94,93
Eswatini,90,90,90,90,98,98,95,91,89,88,88,87,87,86,86,85,85,84,84
Ethiopia,72,73,73,73,61,59,62,65,61,58,54,50,46,44,40,37,35,32,30
Fiji,99,99,99,99,99,99,99,99,99,99,99,99,98,96,95,94,93,91,90
Finland,91,89,92,97,98,98,99,99,99,99,99,99,97,97,98,98,98,98,99
France,96,96,96,97,98,99,99,99,99,98,99,99,99,98,98,97,97,97,97
Gabon,70,75,75,80,70,79,82,75,67,76,82,81,45,45,45,45,45,45,45
Gambia,93,92,95,97,96,97,98,96,97,98,96,95,95,95,87,87,87,87,80
Georgia,93,91,92,94,91,93,92,94,92,88,92,98,88,82,78,75,84,87,80
Germany,93,93,93,93,93,93,95,95,96,96,96,96,96,96,96,97,93,93,90
Ghana,97,99,93,88,98,90,92,91,94,94,93,94,84,84,80,80,78,79,88
Greece,99,99,99,99,99,99,99,99,99,99,99,99,98,96,95,94,92,91,89
Grenada,96,96,96,92,97,97,97,95,97,99,99,96,91,99,83,97,98,96,97
Guatemala,86,82,80,74,73,85,96,88,94,92,95,85,89,87,87,84,82,77,81
Guinea,45,45,45,45,44,50,57,63,64,57,60,63,57,59,60,57,53,50,46
Guinea-Bissau,88,88,88,88,88,87,87,86,83,80,77,74,71,68,64,60,57,53,49
Guyana,95,97,97,95,98,98,97,93,95,98,93,94,93,93,91,90,91,85,88
Haiti,64,64,64,64,63,65,66,68,67,65,64,64,62,60,57,53,50,46,43
Honduras,90,89,94,98,98,98,98,97,97,97,93,94,95,98,94,92,95,96,94
Hungary,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Iceland,91,89,91,92,90,91,89,95,96,96,98,97,97,95,99,97,95,92,98
India,89,89,88,87,85,83,82,82,79,74,70,64,65,65,63,61,59,59,58
Indonesia,79,79,79,78,78,85,83,81,81,78,77,73,72,72,71,71,70,76,75
Iran (Islamic Republic of),99,99,99,98,99,98,99,99,99,99,99,99,98,95,99,99,99,96,99
Iraq,84,85,73,68,72,74,73,81,74,78,69,57,59,65,74,75,77,78,80
Ireland,94,95,95,95,96,96,95,95,94,94,93,92,91,90,89,86,83,84,86
Israel,98,98,94,95,95,96,94,94,95,96,94,95,95,93,95,93,90,92,93
Italy,95,95,94,93,95,96,97,96,96,96,96,97,96,95,94,96,93,93,87
Jamaica,97,93,99,91,92,93,96,92,94,90,91,92,95,99,98,96,99,99,93
Japan,99,99,99,96,96,96,97,97,97,97,98,98,98,98,99,97,96,95,85
Jordan,96,99,98,99,98,98,98,98,98,98,97,98,98,95,95,97,95,99,91
Kazakhstan,98,99,82,98,95,98,99,99,99,98,99,93,99,98,82,99,95,95,97
Kenya,92,82,89,89,92,87,94,96,90,88,88,81,80,76,73,73,84,80,82
Kiribati,95,90,81,78,75,95,94,99,91,86,82,94,86,79,62,70,77,85,90
Kuwait,99,99,99,99,95,99,98,99,98,99,99,99,99,99,98,99,99,99,98
Kyrgyzstan,94,92,96,97,96,97,96,96,96,95,95,94,92,98,99,98,98,99,99
Lao People's Democratic Republic,68,69,66,81,88,87,79,78,74,67,61,50,57,49,45,49,53,52,51
Latvia,96,98,98,94,92,94,91,92,92,94,94,94,96,99,99,98,97,97,96
Lebanon,83,83,83,83,83,83,83,82,82,81,81,80,78,77,75,74,77,80,83
Lesotho,93,93,93,93,93,93,95,96,93,91,88,88,89,89,90,90,84,78,83
Liberia,84,86,79,52,50,76,80,77,70,81,75,65,60,60,31,35,39,42,46
Libya,97,96,97,97,94,96,98,98,98,98,98,98,98,98,97,95,93,94,94
Lithuania,92,94,94,93,93,93,93,92,95,98,96,95,94,94,94,94,95,95,94
Luxembourg,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,99,99
Madagascar,75,74,77,69,73,74,70,73,70,77,77,84,85,85,78,66,62,60,57
Malawi,92,88,84,88,91,89,96,97,93,93,91,87,99,93,89,84,64,90,75
Malaysia,99,99,95,99,97,97,97,96,96,97,97,97,95,96,95,96,94,96,98
Maldives,99,99,99,99,99,99,99,96,96,98,98,98,98,98,96,98,98,98,98
Mali,71,70,69,67,66,64,65,66,73,73,74,74,78,77,69,63,61,49,43
Malta,97,98,97,97,99,99,99,96,76,73,72,74,85,92,89,94,95,95,94
Marshall Islands,81,80,71,85,78,79,80,87,94,96,95,93,74,77,64,68,80,48,39
Mauritania,81,81,74,73,81,80,80,75,64,64,74,75,68,71,70,76,89,75,51
Mauritius,97,94,96,97,97,98,98,98,99,99,99,97,97,97,98,99,88,92,88
Mexico,88,85,93,87,87,83,99,97,95,95,96,98,98,98,98,98,97,97,97
Micronesia (Federated States of),75,73,69,72,77,81,81,84,85,91,85,79,67,94,78,92,84,75,85
Monaco,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Mongolia,99,99,99,99,99,98,99,99,96,95,96,95,99,99,99,98,98,95,94
Montenegro,87,87,89,89,91,94,94,95,94,92,95,92,90,,,,,,
Morocco,99,99,99,99,99,99,99,99,99,99,99,95,97,98,97,91,94,96,95
Mozambique,80,80,80,80,79,78,76,76,74,74,75,75,78,80,83,85,76,73,70
Myanmar,91,89,90,89,88,75,84,84,90,90,85,86,82,73,82,78,79,73,82
Namibia,89,88,85,92,88,89,84,82,83,83,83,86,86,86,81,79,77,78,79
Nauru,90,87,97,91,95,87,79,99,99,99,99,99,72,80,80,80,80,95,44
Nepal,91,90,87,91,92,92,90,92,82,89,82,82,89,75,80,78,72,72,74
Netherlands,93,94,95,95,96,97,97,97,97,97,97,97,96,96,98,98,97,97,97
New Zealand,93,94,92,92,93,92,93,95,93,92,89,88,89,89,89,90,90,90,90
Nicaragua,98,98,98,98,98,98,98,98,98,98,97,93,88,86,79,86,85,87,83
Niger,79,85,80,84,81,73,71,75,70,71,67,57,51,45,43,41,39,36,34
Nigeria,57,57,57,45,43,43,42,48,54,63,53,42,40,36,33,29,25,27,29
Niue,99,99,99,99,99,99,99,99,99,99,99,99,99,85,99,95,99,99,99
Norway,96,96,96,95,93,94,95,94,93,94,94,93,94,91,92,92,93,91,90
Oman,99,99,99,99,99,98,98,99,99,98,99,99,98,99,99,99,99,99,99
Pakistan,75,75,75,72,69,65,64,63,52,52,53,54,59,63,68,66,63,61,59
Palau,95,97,98,90,95,99,89,84,69,49,92,94,98,98,98,99,99,98,96
Panama,88,81,86,73,80,80,85,87,94,85,86,85,88,92,95,98,99,99,98
Papua New Guinea,61,62,72,73,73,79,74,72,67,73,63,71,72,72,62,68,61,55,59
Paraguay,88,91,92,92,93,91,91,92,91,86,89,95,98,96,92,86,87,89,86
Peru,84,83,89,90,88,88,95,91,93,93,93,93,94,77,86,94,95,90,98
Philippines,65,72,86,60,67,89,88,87,79,87,91,87,88,89,88,84,79,79,78
Poland,95,96,98,98,98,99,99,99,99,99,99,99,99,99,99,99,99,98,98
Portugal,99,98,98,98,98,98,98,97,98,96,97,97,97,93,95,99,98,97,96
Qatar,98,97,98,99,89,97,92,93,97,99,97,94,96,97,96,92,96,93,80
Republic of Korea,98,97,98,98,99,99,99,99,94,94,94,91,98,96,88,97,97,97,97
Republic of Moldova,93,88,89,87,90,90,92,93,90,85,90,92,97,98,98,98,97,97,95
Republic of North Macedonia,91,91,95,91,95,98,95,96,95,96,95,95,93,97,94,96,96,91,95
Romania,86,82,89,89,94,92,91,89,94,95,96,96,97,97,97,97,98,99,99
Russian Federation,97,97,97,97,97,97,97,97,97,98,98,98,98,98,97,96,97,96,96
Rwanda,97,98,98,98,98,98,98,97,97,97,97,97,99,95,89,96,88,77,90
Saint Kitts and Nevis,97,97,97,93,97,96,97,97,95,97,98,99,99,99,95,98,96,99,98
Saint Lucia,95,80,95,99,99,99,98,99,97,95,96,99,85,95,91,90,74,99,70
Saint Vincent and the Grenadines,97,99,99,99,98,97,96,96,99,99,99,99,99,99,99,99,99,99,98
Samoa,34,74,80,84,81,85,82,82,78,64,39,65,50,59,63,90,92,90,98
San Marino,90,88,86,85,84,86,89,92,90,90,91,91,92,96,95,96,96,97,98
Sao Tome and Principe,95,95,96,96,95,97,96,96,98,98,99,97,97,97,96,94,92,92,82
Saudi Arabia,96,98,98,98,98,98,98,98,98,98,98,96,96,96,96,95,95,97,95
Senegal,81,93,93,89,89,92,91,92,89,86,88,94,89,84,87,73,60,52,52
Serbia,96,95,92,95,93,95,91,94,91,95,95,94,92,98,88,89,95,93,95
Seychelles,99,97,96,97,99,98,98,99,99,99,99,99,99,99,99,99,99,96,98
Sierra Leone,90,90,84,86,83,92,91,89,86,84,77,64,64,65,65,73,53,38,44
Singapore,96,96,97,96,96,97,97,96,96,97,97,97,95,96,95,96,94,96,98
Slovakia,96,96,96,96,97,98,99,99,99,99,99,99,99,99,99,99,99,99,99
Slovenia,93,94,94,95,95,95,96,96,96,96,97,97,97,95,94,95,93,92,91
Solomon Islands,85,83,94,87,77,83,92,91,83,86,85,88,99,89,90,84,78,84,86
Somalia,42,42,42,42,42,42,42,41,45,42,31,40,26,35,30,40,40,33,33
South Africa,74,76,76,85,85,81,71,75,77,81,82,85,84,81,74,69,70,71,73
South Sudan,49,47,45,46,50,53,63,61,,,,,,,,,,,
Spain,93,95,97,97,97,96,97,97,97,96,97,96,98,96,97,98,98,96,95
Sri Lanka,99,99,99,99,99,99,99,99,99,97,98,98,98,99,97,99,98,98,99
Sudan,93,95,93,93,94,93,92,93,90,81,86,84,78,78,74,69,60,66,62
Suriname,95,81,91,89,85,86,84,86,96,87,85,84,84,83,85,75,73,68,71
Sweden,97,97,98,98,97,98,98,98,98,98,98,98,98,98,99,99,99,99,99
Switzerland,96,97,96,96,96,96,96,96,95,95,95,94,94,94,93,93,93,93,93
Syrian Arab Republic,47,48,42,41,43,41,45,72,80,80,79,80,80,80,81,83,84,82,84
Tajikistan,96,96,96,96,97,96,94,96,93,93,86,86,83,84,86,85,85,85,83
Thailand,97,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,96,96,97
Timor-Leste,83,83,79,76,77,82,83,67,72,72,79,70,63,55,57,55,54,,
Togo,88,90,89,88,87,84,84,85,83,78,81,82,84,82,71,72,59,50,64
Tonga,81,81,78,78,80,82,77,82,82,84,86,87,88,89,90,90,84,89,91
Trinidad and Tobago,99,89,97,96,92,92,92,90,90,90,90,88,92,95,94,91,96,91,90
Tunisia,97,98,98,98,98,98,97,98,98,99,99,98,99,98,97,95,96,98,97
Turkey,98,96,98,97,96,98,97,97,97,96,96,96,90,90,85,68,78,88,85
Turkmenistan,99,99,98,99,98,98,97,97,96,96,96,98,98,99,97,83,98,95,97
Tuvalu,89,96,94,96,89,90,97,96,89,88,99,97,97,93,98,93,98,96,82
Uganda,93,94,93,89,85,84,83,82,80,79,71,73,64,64,62,59,57,55,52
Ukraine,50,50,19,23,23,76,76,50,52,71,90,98,98,96,99,97,99,99,99
United Arab Emirates,99,97,99,99,99,98,96,95,94,93,92,92,92,94,94,94,94,94,94
United Kingdom of Great Britain and Northern Ireland,94,94,94,95,95,95,95,95,94,93,92,92,92,91,92,91,91,91,91
United Republic of Tanzania,98,97,97,98,97,91,92,90,91,85,86,83,90,90,95,95,89,87,79
United States of America,94,95,95,95,95,94,94,96,95,95,96,96,96,96,96,96,94,94,94
Uruguay,91,93,95,95,95,94,95,95,95,95,94,94,95,96,94,91,95,94,90
Uzbekistan,98,99,99,99,99,99,99,99,99,98,98,96,96,99,99,98,99,99,99
Vanuatu,85,85,81,80,86,84,82,79,77,75,73,70,68,68,69,69,70,70,71
Venezuela (Bolivarian Republic of),60,66,84,87,78,82,81,78,78,84,50,62,71,87,86,68,65,70,77
Viet Nam,75,94,96,97,95,59,97,95,93,96,93,92,94,95,96,99,75,96,96
Yemen,65,68,71,69,73,73,67,69,76,76,78,79,78,79,72,61,65,73,74
Zambia,90,94,91,90,86,79,78,81,83,94,87,80,81,82,83,83,84,85,85
Zimbabwe,89,89,90,87,91,95,95,93,89,73,75,73,70,68,65,68,71,75,78
